var1,var2,n,pearson,spearman,exclude_zeros
user_reception_score,violence_score,85245,0.02901239873999777,0.04113351438096242,False
user_reception_score,no_sup_lang,85245,0.05492552539056615,0.17523992642290054,False
user_reception_score,log_concurrent_users_yesterday,85245,0.28863481380945716,0.37516366476042695,False
user_reception_score,log_price,85245,0.04432978136302272,0.08208650556890588,False
violence_score,no_sup_lang,85245,-0.01643624632771746,0.05836873990803806,False
violence_score,log_concurrent_users_yesterday,85245,0.11709813082955595,0.09528842958720268,False
violence_score,log_price,85245,0.11860236216596169,0.12487708846405164,False
no_sup_lang,log_concurrent_users_yesterday,85245,0.09129785279191004,0.28575285149299723,False
no_sup_lang,log_price,85245,0.04719072605330673,0.24008643463309823,False
log_concurrent_users_yesterday,log_price,85245,0.2847048751251404,0.3256390712653067,False
